country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,2100000,2210000,2800000,3720000,4300000,5290000,6660000,6380000,9890000,16200000,13300000,15400000,20000000,28700000,29200000,32100000,32800000,37100000,38700000,41800000,44400000,47900000,49900000,50500000,46400000,52900000,56100000,64400000,68900000,77500000,79000000,74400000,76500000,80700000,79200000,73000000,69900000,70200000,71000000,65800000,66500000,68400000,67400000,68200000,68900000,70000000,78600000,79900000,80700000,74200000
Argentina,5030000,5440000,5170000,5630000,6060000,6430000,6130000,6330000,6530000,6050000,7020000,7300000,8190000,11000000,11300000,11600000,13000000,12700000,15000000,15900000,14900000,16700000,16800000,18000000,18600000,20900000,24200000,22900000,24700000,28900000,31300000,31100000,30200000,34300000,37500000,38200000,38500000,37500000,36800000,34700000,33500000,32400000,31500000,29700000,29700000,30500000,32100000,31900000,33900000,35800000
Australia,1490000,2220000,3190000,4050000,4620000,4960000,5850000,6690000,7200000,8290000,9520000,10300000,10100000,10900000,10800000,11500000,12600000,12800000,13200000,15200000,17700000,18600000,20100000,21000000,24100000,25400000,25500000,25500000,26000000,26400000,26800000,28100000,28400000,29000000,30900000,32900000,35000000,36800000,35800000,40200000,46400000,47900000,51200000,53100000,57300000,65400000,82900000,97000000,112000000,132000000
Azerbaijan,,,,,,,,,,,,,,,,11800000,11400000,10500000,9980000,9300000,8300000,7210000,6620000,5700000,5370000,5530000,4930000,4690000,4380000,4690000,4420000,4340000,4020000,4010000,3910000,4810000,5670000,9080000,13700000,13700000,14000000,13700000,14500000,15000000,15800000,16200000,15700000,15300000,16400000,20900000
Bahrain,559000,815000,1020000,1440000,1780000,1870000,1960000,2130000,2340000,2590000,2100000,1950000,3080000,3230000,3330000,4060000,4650000,4520000,4800000,4990000,5230000,4980000,5820000,6230000,6380000,6490000,6680000,7170000,7540000,7800000,7890000,8220000,8510000,8670000,7970000,8750000,9250000,9630000,10300000,10400000,10700000,10900000,11200000,12000000,12600000,12700000,12400000,12400000,12600000,14500000
Bangladesh,0,0,378000,523000,575000,578000,761000,849000,937000,1080000,1210000,1170000,1520000,1690000,1950000,2220000,2500000,2940000,3460000,3650000,3930000,4050000,4420000,4940000,5240000,5800000,6220000,6120000,6610000,7210000,7790000,8720000,9180000,9870000,10600000,11400000,12400000,13200000,14100000,16100000,16600000,16800000,18300000,18900000,19800000,22200000,22700000,22900000,22900000,24700000
Bolivia,36000,36000,960000,1480000,1550000,1530000,1570000,1660000,1640000,1790000,2200000,2340000,2430000,2330000,2240000,2220000,2260000,2370000,2500000,2640000,2700000,2680000,2430000,2430000,2620000,2620000,2640000,2230000,2330000,1870000,2680000,3910000,5010000,5760000,8100000,9990000,10700000,11500000,11900000,10200000,11800000,12900000,14700000,16800000,17400000,16800000,16100000,15700000,14600000,12900000
Brazil,69700,111000,151000,173000,332000,362000,417000,519000,683000,748000,874000,785000,1120000,1520000,1760000,2210000,2580000,2880000,2900000,2970000,2700000,2810000,3190000,3730000,4070000,4500000,4910000,5350000,5600000,6580000,6630000,6770000,8180000,8890000,9770000,9670000,9870000,9940000,12400000,10600000,12900000,14800000,17100000,18900000,20100000,20500000,20700000,23400000,21600000,22200000
Brunei,184000,182000,373000,1630000,3540000,4640000,6120000,7030000,6890000,7220000,7240000,7010000,7000000,7300000,7390000,7210000,7220000,7210000,7490000,7340000,7480000,7600000,8180000,8660000,8710000,9860000,9770000,9780000,9030000,9410000,9470000,9550000,9610000,10400000,10300000,10100000,10500000,10300000,10200000,9570000,10300000,10700000,10500000,10200000,10900000,11400000,11100000,11100000,10800000,11200000
Canada,46400000,50800000,57300000,61400000,60200000,61400000,62000000,65100000,62800000,66300000,61200000,59200000,62100000,58400000,64000000,69200000,64900000,70400000,81300000,86400000,88900000,93600000,103000000,114000000,123000000,131000000,132000000,137000000,142000000,147000000,152000000,154000000,155000000,151000000,152000000,154000000,154000000,150000000,143000000,133000000,129000000,130000000,129000000,131000000,137000000,138000000,148000000,151000000,154000000,149000000
China,2490000,3240000,4190000,5180000,6530000,7670000,8750000,10500000,11900000,12600000,12400000,11000000,10300000,10600000,10800000,11200000,11900000,12000000,12400000,13000000,13300000,13400000,13700000,14500000,15200000,15600000,17400000,19700000,20200000,21800000,23600000,26300000,28300000,30300000,35900000,42700000,50700000,60000000,69600000,73900000,83000000,91300000,95900000,105000000,113000000,117000000,119000000,128000000,139000000,153000000
Colombia,1070000,1120000,1370000,1420000,1470000,1280000,1300000,1480000,1960000,2240000,2390000,2620000,2800000,3070000,3120000,3190000,3110000,3270000,3160000,3190000,3370000,3340000,3420000,3350000,3460000,3620000,3910000,4880000,5580000,4900000,4930000,5110000,5160000,4940000,5270000,5540000,5820000,6240000,7500000,8690000,9320000,9070000,9910000,11400000,10600000,9980000,10300000,10600000,11100000,11300000
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208000,1010000,1710000,2170000,2150000,2750000,2810000,3530000,3680000,4040000,4370000,4740000,5760000,7050000,6780000,6950000,7310000,7510000,7600000,7200000,8490000,9380000,9320000,8270000,9020000,7530000,7340000,5900000,5150000,4280000,4130000,4120000,4040000,4340000,3690000,2750000
Egypt,70300,70300,58800,47200,49700,41400,314000,381000,612000,927000,1800000,2020000,2210000,2590000,3330000,4080000,4700000,5200000,5730000,6410000,6680000,7510000,8130000,9340000,10000000,10300000,11000000,11300000,11600000,13900000,17400000,20900000,22600000,24900000,27300000,35200000,45300000,46100000,48800000,51900000,50700000,50900000,50400000,46400000,40400000,36600000,34600000,42000000,50400000,55800000
Germany,10300000,12700000,15200000,17100000,17700000,16400000,17000000,16900000,17400000,17500000,15900000,16300000,14300000,15800000,15500000,14700000,12100000,13500000,12600000,13200000,12900000,13200000,13400000,13400000,14000000,14500000,15700000,15400000,15000000,16100000,15200000,15300000,15300000,15900000,14700000,14200000,14100000,12900000,11700000,11000000,9560000,9000000,8140000,7400000,6950000,6470000,5950000,5480000,4770000,4580000
India,544000,577000,632000,631000,714000,914000,1110000,1190000,1320000,1650000,974000,1700000,2230000,2650000,3040000,3720000,5190000,5980000,7010000,8330000,9970000,11100000,12400000,12600000,13600000,15500000,17000000,18400000,20200000,20700000,21800000,21900000,22800000,24400000,24200000,24500000,24200000,24900000,25300000,31100000,40800000,36900000,32000000,26700000,25200000,24200000,22900000,23800000,23600000,23100000
Indonesia,1100000,1310000,970000,1500000,1550000,2030000,2050000,4940000,9500000,13800000,16200000,16400000,16700000,19000000,25600000,28200000,29300000,31300000,34200000,36000000,38300000,42100000,44600000,46300000,52800000,53000000,55800000,57300000,56400000,61100000,60800000,59000000,65000000,68100000,65100000,65600000,64800000,62400000,64300000,67100000,74800000,71100000,67300000,66700000,65700000,65500000,64600000,62500000,62600000,58100000
Iran,3010000,7270000,9800000,10800000,11200000,11700000,11900000,12100000,7590000,7310000,3900000,4240000,5800000,6630000,7720000,8330000,8000000,9800000,10600000,13400000,21300000,25100000,26600000,14200000,22600000,27400000,32200000,33900000,38200000,45600000,48400000,53800000,64000000,67100000,78300000,83100000,90500000,101000000,106000000,117000000,124000000,130000000,135000000,135000000,151000000,158000000,171000000,189000000,205000000,210000000
Iraq,637000,756000,764000,743000,683000,1060000,1470000,962000,997000,1430000,1050000,506000,555000,384000,482000,694000,1270000,3060000,4570000,5270000,3250000,1420000,1850000,2080000,2590000,2590000,2650000,2490000,2410000,2600000,2570000,2250000,1930000,1270000,817000,1180000,1180000,3910000,5550000,5890000,6140000,5420000,5450000,6080000,6480000,6280000,8510000,8700000,9090000,9270000
Italy,10800000,11000000,11700000,12600000,12600000,12000000,12900000,11300000,11300000,11000000,10300000,11500000,11800000,10600000,11200000,11500000,12900000,13300000,13500000,13800000,14000000,14100000,14700000,15700000,16500000,16300000,16400000,15900000,15700000,14400000,13700000,12600000,12100000,11500000,10700000,9960000,9060000,8010000,7580000,6560000,6880000,6920000,7050000,6330000,5860000,5550000,4740000,4530000,4460000,3970000
Kazakhstan,,,,,,,,,,,,,,,,4020000,4290000,4650000,5250000,4940000,5240000,5370000,5040000,4540000,2810000,3540000,3060000,4970000,4370000,5810000,7290000,7430000,7930000,9560000,11300000,12500000,13100000,13600000,15700000,16300000,17600000,17300000,17100000,18400000,18600000,18900000,19700000,20100000,20600000,20100000
Kuwait,1660000,1720000,2030000,2280000,2390000,2620000,3160000,3440000,3860000,5110000,3330000,3830000,3000000,3300000,3570000,3430000,4680000,3900000,5590000,6670000,3420000,408000,2140000,4430000,4880000,7580000,7600000,7570000,7750000,7100000,7840000,7760000,7110000,8170000,8900000,10000000,10100000,9200000,10400000,9380000,9580000,11100000,12700000,13300000,12300000,13800000,14100000,14000000,14500000,15800000
Libya,240000,578000,2310000,3700000,3330000,3790000,3900000,4130000,4180000,5540000,4220000,2570000,2740000,3030000,3760000,4250000,4570000,4080000,4490000,5550000,5060000,5340000,5530000,5200000,5220000,5180000,5240000,5370000,5200000,4250000,4800000,5050000,4820000,4490000,6580000,9230000,10800000,12500000,13000000,13000000,13700000,6420000,9970000,10500000,10200000,9480000,8090000,7430000,7120000,8110000
