country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,3220000000,3190000000,3130000000,3060000000,2980000000,2900000000,2820000000,2740000000,2800000000,2820000000,2860000000,3140000000,3160000000,3210000000,2570000000,3200000000,3210000000,3530000000,3530000000,3920000000,3920000000,3920000000,3920000000,3940000000,3940000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000,3900000000
Argentina,561000000,567000000,606000000,594000000,585000000,596000000,587000000,607000000,677000000,587000000,578000000,563000000,474000000,453000000,468000000,542000000,562000000,599000000,601000000,638000000,681000000,669000000,581000000,536000000,474000000,384000000,390000000,387000000,349000000,331000000,314000000,291000000,276000000,287000000,291000000,307000000,295000000,311000000,324000000,324000000
Australia,127000000,321000000,450000000,442000000,484000000,498000000,633000000,750000000,725000000,670000000,651000000,667000000,706000000,696000000,907000000,887000000,955000000,1050000000,1400000000,1400000000,1550000000,1870000000,1770000000,1670000000,1630000000,1650000000,1670000000,1610000000,2470000000,2480000000,2570000000,2530000000,2540000000,2540000000,2150000000,2150000000,2150000000,2150000000,2150000000,2150000000
Azerbaijan,,,,,,,,,,,,,,,,,,590000000,590000000,891000000,891000000,891000000,891000000,891000000,891000000,891000000,891000000,898000000,950000000,916000000,919000000,919000000,919000000,907000000,1210000000,1190000000,1190000000,1190000000,1920000000,2560000000
Bahrain,513000000,495000000,489000000,480000000,471000000,460000000,449000000,436000000,418000000,403000000,389000000,381000000,367000000,350000000,337000000,323000000,312000000,312000000,312000000,260000000,242000000,242000000,242000000,202000000,198000000,198000000,198000000,187000000,198000000,198000000,187000000,187000000,170000000,163000000,155000000,147000000,156000000,164000000,165000000,69500000
Bangladesh,248000000,275000000,294000000,269000000,306000000,306000000,307000000,307000000,303000000,628000000,628000000,624000000,262000000,257000000,261000000,236000000,260000000,257000000,257000000,280000000,265000000,295000000,295000000,375000000,366000000,353000000,332000000,324000000,298000000,315000000,307000000,302000000,239000000,219000000,201000000,178000000,160000000,146000000,108000000,108000000
Bolivia,108000000,140000000,121000000,116000000,116000000,118000000,122000000,101000000,102000000,102000000,98500000,103000000,96000000,93700000,95200000,95200000,93500000,103000000,130000000,130000000,170000000,195000000,204000000,197000000,190000000,187000000,183000000,179000000,244000000,244000000,244000000,244000000,275000000,258000000,243000000,243000000,263000000,222000000,207000000,192000000
Brazil,49200000,55700000,66800000,76100000,77900000,86300000,89100000,97400000,101000000,108000000,107000000,115000000,123000000,127000000,135000000,143000000,147000000,212000000,210000000,214000000,205000000,204000000,227000000,228000000,303000000,284000000,323000000,339000000,338000000,341000000,393000000,426000000,426000000,425000000,437000000,399000000,350000000,343000000,342000000,338000000
Brunei,182000000,186000000,194000000,191000000,209000000,209000000,298000000,290000000,283000000,278000000,290000000,347000000,351000000,351000000,351000000,351000000,351000000,343000000,335000000,328000000,321000000,312000000,307000000,303000000,301000000,298000000,290000000,301000000,282000000,271000000,264000000,253000000,242000000,237000000,231000000,226000000,221000000,211000000,211000000,211000000
Canada,2140000000,2200000000,2220000000,2240000000,2410000000,2390000000,2350000000,2310000000,2290000000,2340000000,2340000000,2320000000,2290000000,1910000000,1630000000,1650000000,1660000000,1550000000,1500000000,1470000000,1440000000,1450000000,1430000000,1370000000,1370000000,1400000000,1410000000,1400000000,1500000000,1480000000,1690000000,1650000000,1710000000,1740000000,1700000000,1860000000,1800000000,1790000000,1720000000,1790000000
