country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,1120000000,1100000000,1290000000,1260000000,1230000000,1200000000,1200000000,1170000000,1250000000,1260000000,1250000000,1250000000,1250000000,1250000000,1360000000,1360000000,1470000000,1530000000,1540000000,1540000000,1540000000,1540000000,1540000000,1610000000,1610000000,1670000000,1670000000,1660000000,1660000000,1660000000,1660000000,1660000000,1660000000,1660000000,1660000000,1660000000,1660000000,1660000000,1660000000,1660000000
Angola,188000000,151000000,199000000,234000000,293000000,275000000,191000000,273000000,273000000,283000000,222000000,198000000,182000000,259000000,404000000,426000000,504000000,532000000,550000000,689000000,815000000,887000000,1210000000,1200000000,1230000000,1230000000,1270000000,1300000000,1300000000,1300000000,1240000000,1240000000,1240000000,1230000000,1150000000,1300000000,1300000000,1140000000,1110000000,1110000000
Argentina,335000000,296000000,266000000,334000000,320000000,306000000,305000000,306000000,311000000,296000000,214000000,230000000,275000000,302000000,307000000,326000000,355000000,358000000,376000000,419000000,406000000,393000000,385000000,365000000,338000000,297000000,353000000,357000000,344000000,343000000,344000000,344000000,321000000,318000000,325000000,327000000,295000000,275000000,326000000,326000000
Australia,290000000,357000000,400000000,340000000,349000000,335000000,392000000,396000000,435000000,423000000,431000000,440000000,439000000,444000000,521000000,518000000,521000000,551000000,651000000,647000000,674000000,676000000,624000000,511000000,530000000,507000000,479000000,468000000,578000000,554000000,523000000,528000000,535000000,540000000,326000000,326000000,326000000,326000000,326000000,326000000
Azerbaijan,,,,,,,,,,,,171000000,171000000,171000000,158000000,158000000,158000000,158000000,158000000,161000000,161000000,161000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000,955000000
Brazil,180000000,201000000,234000000,252000000,275000000,296000000,322000000,348000000,384000000,376000000,616000000,657000000,677000000,680000000,733000000,849000000,911000000,969000000,1000000000,1110000000,1150000000,1160000000,1340000000,1450000000,1530000000,1610000000,1660000000,1720000000,1750000000,1760000000,1940000000,2050000000,2090000000,2130000000,2210000000,1770000000,1720000000,1750000000,1830000000,1730000000
Brunei,177000000,205000000,197000000,208000000,201000000,197000000,201000000,218000000,164000000,157000000,153000000,157000000,154000000,171000000,162000000,153000000,149000000,145000000,139000000,177000000,168000000,158000000,150000000,143000000,153000000,151000000,164000000,147000000,147000000,150000000,150000000,150000000,150000000,150000000,150000000,150000000,150000000,150000000,150000000,150000000
Canada,5390000000,5480000000,5500000000,5520000000,5530000000,5580000000,5610000000,5620000000,5660000000,5630000000,5500000000,5470000000,5410000000,5390000000,6570000000,6600000000,6680000000,6660000000,6800000000,24800000000,24800000000,24700000000,24600000000,24500000000,24500000000,24600000000,24500000000,24400000000,24100000000,23900000000,23800000000,23800000000,23700000000,23600000000,23500000000,23400000000,23300000000,23500000000,23300000000,23100000000
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123000000,123000000,123000000,123000000,123000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000
China,1820000000,1810000000,1810000000,2030000000,2230000000,2330000000,2340000000,2380000000,2360000000,2190000000,2190000000,2120000000,2070000000,2240000000,2220000000,2230000000,2240000000,2320000000,2380000000,2060000000,2070000000,2100000000,2120000000,2110000000,2490000000,2490000000,2760000000,2830000000,2890000000,2950000000,3170000000,3240000000,3330000000,3370000000,3430000000,3500000000,3500000000,3540000000,3570000000,3570000000
Colombia,75000000,72300000,83200000,87300000,150000000,169000000,232000000,261000000,280000000,270000000,271000000,257000000,441000000,431000000,428000000,403000000,382000000,352000000,338000000,312000000,269000000,251000000,223000000,210000000,202000000,198000000,206000000,206000000,186000000,186000000,259000000,271000000,300000000,324000000,333000000,315000000,273000000,227000000,243000000,267000000
"Congo, Rep.",96200000,100000000,103000000,101000000,109000000,103000000,98200000,94800000,102000000,96800000,103000000,95200000,98900000,88700000,193000000,184000000,218000000,220000000,232000000,232000000,205000000,205000000,207000000,243000000,243000000,260000000,265000000,265000000,265000000,273000000,273000000,273000000,273000000,365000000,391000000,407000000,407000000,407000000,407000000,407000000
Denmark,61400000,50600000,44600000,42000000,63500000,60900000,54900000,54900000,73800000,85800000,80600000,84100000,102000000,96100000,103000000,124000000,118000000,129000000,120000000,124000000,152000000,184000000,174000000,174000000,181000000,174000000,158000000,152000000,111000000,125000000,123000000,110000000,99500000,91800000,83200000,66900000,60100000,58300000,60100000,60100000
Ecuador,77600000,72100000,72900000,70300000,90600000,91500000,98400000,127000000,121000000,115000000,108000000,122000000,258000000,292000000,278000000,270000000,275000000,293000000,327000000,353000000,364000000,467000000,509000000,508000000,499000000,360000000,334000000,342000000,341000000,363000000,282000000,274000000,265000000,281000000,242000000,246000000,232000000,223000000,223000000,223000000
Egypt,398000000,482000000,505000000,540000000,549000000,518000000,614000000,639000000,582000000,587000000,472000000,482000000,469000000,467000000,538000000,519000000,524000000,507000000,512000000,514000000,495000000,500000000,481000000,481000000,494000000,507000000,507000000,555000000,573000000,600000000,614000000,587000000,573000000,532000000,502000000,474000000,462000000,454000000,419000000,419000000
Equatorial Guinea,,,,,,,,,,,,40900000,40900000,40900000,40900000,75700000,75700000,75700000,75700000,75700000,109000000,151000000,149000000,175000000,241000000,246000000,239000000,233000000,233000000,233000000,233000000,233000000,233000000,233000000,150000000,150000000,150000000,150000000,150000000,150000000
Gabon,64200000,63200000,65700000,74700000,85000000,89600000,88100000,131000000,127000000,131000000,117000000,119000000,105000000,90300000,191000000,201000000,382000000,365000000,350000000,350000000,330000000,327000000,323000000,312000000,299000000,293000000,293000000,273000000,273000000,273000000,273000000,273000000,273000000,273000000,273000000,273000000,273000000,273000000,273000000,273000000
India,376000000,475000000,478000000,494000000,513000000,513000000,632000000,602000000,609000000,593000000,759000000,836000000,806000000,799000000,792000000,752000000,748000000,767000000,736000000,678000000,722000000,752000000,761000000,782000000,759000000,807000000,776000000,745000000,791000000,794000000,796000000,778000000,780000000,779000000,783000000,653000000,638000000,620000000,611000000,636000000
Indonesia,1580000000,1500000000,1440000000,1370000000,1310000000,1250000000,1230000000,1230000000,1230000000,698000000,739000000,806000000,764000000,705000000,679000000,679000000,645000000,664000000,696000000,709000000,698000000,696000000,644000000,645000000,587000000,572000000,596000000,544000000,511000000,587000000,577000000,510000000,510000000,504000000,494000000,491000000,451000000,433000000,430000000,339000000
Iran,7950000000,7780000000,7660000000,7540000000,8030000000,8050000000,12700000000,12700000000,12700000000,12700000000,12700000000,12700000000,12700000000,12700000000,12900000000,12800000000,12600000000,12600000000,12800000000,12700000000,13600000000,13500000000,17800000000,18200000000,18100000000,18800000000,18900000000,18900000000,18800000000,18700000000,20600000000,21100000000,21500000000,21500000000,21500000000,21600000000,21400000000,21200000000,21200000000,21200000000
Iraq,4090000000,4360000000,8050000000,8870000000,8870000000,8870000000,9820000000,13600000000,13600000000,13600000000,13600000000,13600000000,13600000000,13600000000,13600000000,13600000000,15300000000,15300000000,15300000000,15300000000,15300000000,15700000000,15700000000,15700000000,15700000000,15700000000,15700000000,15700000000,15700000000,15700000000,15700000000,19500000000,19100000000,19700000000,19500000000,19400000000,20300000000,20100000000,19800000000,19800000000
Italy,51600000,51600000,56800000,58800000,84700000,86700000,87800000,92900000,109000000,104000000,104000000,113000000,87800000,87800000,103000000,105000000,103000000,87800000,86700000,86700000,81600000,77400000,75600000,68900000,63100000,62700000,61400000,62300000,64000000,72000000,79100000,78800000,84700000,82300000,87600000,84200000,73700000,80800000,78300000,75300000
Kazakhstan,,,,,,,,,,,,708000000,708000000,708000000,725000000,725000000,725000000,725000000,737000000,737000000,737000000,737000000,737000000,1230000000,1230000000,1230000000,1230000000,4090000000,4090000000,4090000000,4090000000,4090000000,4090000000,4090000000,4090000000,4090000000,4090000000,4090000000,4090000000,4090000000
Kuwait,9270000000,9240000000,9160000000,9140000000,12600000000,12600000000,12900000000,12900000000,12900000000,13200000000,13200000000,13200000000,13200000000,13200000000,13200000000,13200000000,13200000000,13200000000,13200000000,13200000000,13200000000,13200000000,13200000000,13500000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000,13800000000
Libya,2770000000,3080000000,3030000000,2970000000,2920000000,2910000000,3110000000,3110000000,3110000000,3110000000,3110000000,3110000000,3110000000,3110000000,3110000000,4020000000,4020000000,4020000000,4020000000,4020000000,4910000000,4910000000,4910000000,5340000000,5340000000,5660000000,5660000000,5960000000,6040000000,6330000000,6420000000,6550000000,6610000000,6600000000,6600000000,6600000000,6600000000,6600000000,6600000000,6600000000
Malaysia,198000000,196000000,220000000,252000000,262000000,259000000,249000000,250000000,261000000,252000000,260000000,480000000,523000000,368000000,352000000,342000000,329000000,332000000,292000000,290000000,290000000,362000000,389000000,413000000,453000000,449000000,369000000,467000000,472000000,496000000,487000000,510000000,503000000,518000000,491000000,412000000,387000000,387000000,387000000,387000000
Mexico,6440000000,7770000000,7770000000,7790000000,7690000000,7580000000,7490000000,7380000000,7230000000,7090000000,7000000000,6950000000,6990000000,6930000000,6790000000,6660000000,6610000000,6520000000,2950000000,2940000000,2750000000,2560000000,2350000000,2190000000,2020000000,1860000000,1750000000,1660000000,1620000000,1620000000,1590000000,1550000000,1560000000,1510000000,1480000000,1090000000,985000000,877000000,791000000,791000000
Nigeria,2280000000,2250000000,2280000000,2260000000,2270000000,2260000000,2190000000,2180000000,2180000000,2180000000,2330000000,2730000000,2860000000,2860000000,2860000000,2840000000,2840000000,2840000000,3070000000,3960000000,3960000000,4300000000,4690000000,4810000000,4890000000,4940000000,5070000000,5070000000,5070000000,5070000000,5070000000,4940000000,5070000000,5060000000,5110000000,5060000000,5110000000,5110000000,5040000000,5040000000
Norway,539000000,539000000,521000000,667000000,677000000,805000000,886000000,905000000,1110000000,1150000000,1180000000,1200000000,1330000000,1300000000,1320000000,1470000000,1590000000,1640000000,1590000000,1490000000,1550000000,1580000000,1430000000,1380000000,1330000000,1320000000,1170000000,1110000000,1020000000,965000000,928000000,939000000,1020000000,961000000,892000000,1090000000,1040000000,1080000000,1180000000,1160000000
Oman,339000000,401000000,464000000,477000000,532000000,555000000,551000000,560000000,565000000,585000000,594000000,593000000,647000000,682000000,696000000,709000000,723000000,736000000,737000000,783000000,798000000,805000000,778000000,760000000,760000000,760000000,760000000,760000000,760000000,750000000,750000000,750000000,750000000,678000000,703000000,724000000,733000000,733000000,733000000,733000000
Peru,85700000,120000000,106000000,95000000,91400000,80300000,73100000,65500000,116000000,116000000,112000000,112000000,109000000,109000000,113000000,110000000,106000000,103000000,128000000,121000000,124000000,134000000,130000000,127000000,150000000,147000000,150000000,153000000,153000000,153000000,169000000,165000000,194000000,221000000,192000000,162000000,167000000,134000000,117000000,117000000
Qatar,489000000,471000000,467000000,454000000,614000000,614000000,614000000,614000000,614000000,614000000,408000000,408000000,426000000,426000000,477000000,505000000,505000000,1710000000,1840000000,1790000000,2300000000,2300000000,3760000000,3680000000,3660000000,3810000000,3740000000,3730000000,3660000000,3530000000,3370000000,3260000000,3440000000,3420000000,3510000000,3440000000,3440000000,3440000000,3440000000,3440000000
Romania,149000000,137000000,131000000,218000000,206000000,197000000,186000000,175000000,168000000,164000000,207000000,203000000,170000000,137000000,136000000,137000000,134000000,127000000,159000000,167000000,160000000,157000000,69300000,67400000,63900000,62500000,65200000,65500000,65500000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000
Russia,,,,,,,,,,,,15800000000,15800000000,15700000000,15700000000,15500000000,15500000000,15400000000,15400000000,15300000000,15300000000,15200000000,15000000000,14700000000,14400000000,14200000000,14200000000,14500000000,14500000000,14400000000,14400000000,14400000000,14400000000,14300000000,14100000000,14000000000,14500000000,14500000000,14600000000,14600000000
Saudi Arabia,22900000000,22900000000,22600000000,23000000000,23400000000,23400000000,23200000000,23100000000,34800000000,35500000000,35500000000,35600000000,35600000000,35600000000,35700000000,35700000000,35700000000,35700000000,35700000000,35800000000,35800000000,35800000000,35800000000,35800000000,36100000000,36000000000,36000000000,36000000000,36000000000,36100000000,36100000000,36200000000,36300000000,36300000000,36400000000,36300000000,36300000000,40400000000,40600000000,40600000000
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477000000,477000000,477000000,477000000,477000000,477000000,477000000,477000000
Sudan,0,27300000,54600000,40900000,40900000,40900000,40900000,40900000,40900000,40900000,40900000,40900000,40900000,40900000,40900000,40900000,40900000,35800000,35800000,35800000,35800000,76800000,76800000,76800000,76800000,76800000,682000000,682000000,682000000,682000000,682000000,682000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000,205000000
Syria,198000000,258000000,239000000,199000000,191000000,210000000,221000000,235000000,246000000,273000000,256000000,409000000,409000000,402000000,361000000,349000000,334000000,320000000,314000000,314000000,317000000,317000000,311000000,327000000,431000000,409000000,409000000,341000000,341000000,341000000,341000000,341000000,341000000,341000000,341000000,341000000,341000000,341000000,341000000,341000000
Thailand,57200,2070000,4090000,4090000,7910000,14900000,14200000,14200000,14200000,31500000,35700000,30000000,24400000,29700000,31500000,40300000,32900000,40400000,53000000,48900000,70200000,79700000,94400000,68200000,71900000,61800000,62900000,62900000,61900000,59300000,60300000,61800000,61200000,63000000,55200000,54100000,47700000,44000000,39900000,39900000
Trinidad and Tobago,77900000,77900000,86300000,73700000,77700000,83500000,76900000,84500000,83600000,84400000,82100000,78100000,73800000,76400000,76400000,89600000,98600000,96300000,101000000,112000000,116000000,131000000,153000000,122000000,110000000,110000000,108000000,119000000,113000000,113000000,113000000,113000000,113000000,113000000,113000000,99300000,33100000,33100000,33100000,33100000
Tunisia,297000000,340000000,334000000,343000000,248000000,243000000,239000000,235000000,244000000,246000000,237000000,54600000,63800000,50300000,46100000,51400000,46400000,42800000,39600000,42000000,58000000,71700000,68300000,88600000,92800000,76400000,81300000,82000000,78700000,58000000,58000000,58000000,58000000,58000000,58000000,58000000,58000000,58000000,58000000,58000000
Turkmenistan,,,,,,,,,,,,74400000,74400000,74400000,74400000,74400000,74400000,74500000,74500000,74500000,74500000,74500000,74500000,74500000,74500000,74500000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000,81800000
United Arab Emirates,4150000000,4390000000,4410000000,4410000000,4430000000,4500000000,13300000000,13400000000,13400000000,13400000000,13400000000,13400000000,13400000000,13400000000,13400000000,13400000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000,13300000000
United Kingdom,1150000000,1070000000,1020000000,946000000,818000000,767000000,726000000,706000000,583000000,522000000,547000000,568000000,624000000,619000000,588000000,619000000,680000000,706000000,701000000,680000000,644000000,619000000,609000000,584000000,545000000,528000000,490000000,462000000,417000000,387000000,383000000,422000000,414000000,413000000,383000000,347000000,316000000,341000000,368000000,368000000
United States,4980000000,4980000000,4780000000,4860000000,4920000000,4960000000,4780000000,4830000000,4780000000,4670000000,4620000000,4380000000,4260000000,4120000000,4040000000,4060000000,4070000000,4160000000,3900000000,4050000000,4150000000,4150000000,4180000000,4000000000,4000000000,4080000000,4020000000,4150000000,3870000000,4210000000,4770000000,5430000000,6030000000,6610000000,7500000000,6550000000,6820000000,8350000000,9400000000,9400000000
Uzbekistan,,,,,,,,,,,,35800000,35800000,35800000,35800000,35700000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000,81000000
Venezuela,2660000000,2710000000,3400000000,3530000000,3820000000,7430000000,7570000000,7920000000,7980000000,8050000000,8190000000,8550000000,8640000000,8790000000,8850000000,9050000000,9910000000,10200000000,10400000000,10500000000,10500000000,10600000000,10500000000,10500000000,10900000000,10900000000,11900000000,13600000000,23500000000,28800000000,40400000000,40600000000,40600000000,40700000000,40900000000,41000000000,41200000000,41300000000,41400000000,41400000000
Vietnam,0,0,0,0,0,0,0,2990000,6970000,14900000,27400000,32700000,47700000,81300000,87100000,104000000,121000000,170000000,259000000,246000000,266000000,300000000,384000000,404000000,421000000,425000000,443000000,465000000,645000000,614000000,600000000,600000000,600000000,600000000,600000000,600000000,600000000,600000000,600000000,600000000
Yemen,0,0,0,0,0,68200000,68200000,143000000,273000000,273000000,273000000,274000000,274000000,271000000,271000000,271000000,271000000,249000000,252000000,252000000,327000000,327000000,389000000,389000000,409000000,398000000,379000000,364000000,364000000,409000000,409000000,409000000,409000000,409000000,409000000,409000000,409000000,409000000,409000000,409000000
