country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714000000,529000000,583000000,759000000,780000000,883000000,1180000000,1110000000,1500000000,2220000000,2460000000,2410000000,3070000000,3010000000,2790000000,2730000000,1980000000,2070000000,2300000000
Algeria,,,,,,,,,,,,387000000,436000000,511000000,575000000,635000000,755000000,835000000,974000000,1090000000,1060000000,1160000000,1490000000,1640000000,2040000000,2300000000,3820000000,4200000000,4600000000,5230000000,6060000000,6420000000,7120000000,7130000000,7610000000,7970000000,8440000000,8540000000,9590000000,10600000000,11300000000,12000000000,12800000000,14300000000,15000000000,17300000000,16600000000,17700000000,19900000000
Angola,,,,,,,,,,,,389000000,440000000,517000000,646000000,686000000,308000000,308000000,308000000,330000000,354000000,354000000,378000000,410000000,351000000,422000000,422000000,425000000,428000000,430000000,432000000,435000000,437000000,439000000,441000000,443000000,474000000,664000000,725000000,735000000,795000000,902000000,971000000,1100000000,1230000000,1450000000,1630000000,1830000000,2200000000
Argentina,,,,,,,,,,,,5280000000,5600000000,5870000000,6100000000,6660000000,7450000000,7630000000,8010000000,8480000000,8860000000,8960000000,8640000000,9020000000,9580000000,9750000000,10500000000,11800000000,11100000000,10600000000,11100000000,12000000000,13400000000,14700000000,15900000000,17100000000,17600000000,18500000000,19200000000,20600000000,21400000000,21900000000,21300000000,21600000000,22500000000,24300000000,26100000000,28600000000,31300000000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050000000,2410000000,2420000000,1360000000,970000000,641000000,1080000000,2430000000,1760000000,1620000000,1560000000,1480000000,1500000000,1600000000,1640000000,1720000000,1710000000,1770000000,1790000000
Australia,6770000000,7550000000,8050000000,8790000000,9590000000,10400000000,11200000000,12200000000,13100000000,14400000000,15300000000,16600000000,18000000000,18700000000,19800000000,22100000000,23200000000,25300000000,26500000000,28200000000,29000000000,30500000000,32000000000,32300000000,33300000000,32600000000,34500000000,35600000000,36200000000,36600000000,38600000000,39300000000,39300000000,40700000000,40600000000,42200000000,43200000000,44800000000,46200000000,47300000000,48800000000,49600000000,51300000000,50900000000,53300000000,55400000000,56100000000,56300000000,58200000000
Austria,1730000000,1890000000,2140000000,2350000000,2600000000,2830000000,3040000000,3320000000,3630000000,3980000000,4420000000,4890000000,5500000000,6070000000,6400000000,6790000000,7380000000,7670000000,8160000000,8390000000,8770000000,7430000000,7330000000,7500000000,7840000000,8320000000,8440000000,11000000000,11300000000,11500000000,11900000000,12600000000,12800000000,13100000000,13000000000,13600000000,14200000000,13900000000,14000000000,14100000000,14200000000,15300000000,15800000000,16900000000,16800000000,17100000000,17000000000,16800000000,17000000000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700000000,,,,360000000,7910000000,9870000000,11300000000,10200000000,10400000000,12100000000,11900000000,11300000000,13800000000,8340000000,7450000000
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,1140000000,1370000000,1500000000,1560000000,1640000000,1710000000,1810000000,1700000000,1990000000,2170000000,2330000000,2440000000,2650000000,2670000000,2990000000,3090000000,3080000000,3260000000,3530000000,3740000000,3940000000,4310000000,5100000000,5990000000,5250000000
Bangladesh,,,,,,,,,,,,131000000,131000000,136000000,179000000,155000000,135000000,147000000,210000000,228000000,228000000,297000000,359000000,463000000,544000000,657000000,743000000,852000000,924000000,1100000000,1220000000,1430000000,1960000000,2310000000,2530000000,2810000000,3540000000,3700000000,3970000000,4440000000,5500000000,6190000000,6780000000,7260000000,8010000000,8530000000,9320000000,9410000000,10500000000
